category,axis,value
0030b00001vhiMMAAY,Enablement,"6.08"
0030b00001vhiMMAAY,Foundations,"7.09"
0030b00001vhiMMAAY,Governance,"8.705"
0030b00001vhiMMAAY,"Operational Excellence","7.974"
0030b00001vhiViAAI,"Business Value",8
0030b00001vhiViAAI,Community,8
0030b00001vhiViAAI,Enablement,8
0030b00001vhiViAAI,Foundations,"8.56"
0030b00001vhiViAAI,Governance,"6.91"
0030b00001vhiViAAI,"Operational Excellence","7.792"
0030b00001vhjqzAAA,"Business Value","4.5"
0030b00001vhjqzAAA,Community,"3.06"
0030b00001vhjqzAAA,Enablement,"1.28"
0030b00001vhjqzAAA,Foundations,"4.37"
0030b00001vhjqzAAA,Governance,"3.985"
0030b00001vhjqzAAA,"Operational Excellence","3.582"
0030b00001vhkR3AAI,"Business Value","6.45"
0030b00001vhkR3AAI,Community,"8.8"
0030b00001vhkR3AAI,Enablement,"6.64"
0030b00001vhkR3AAI,Foundations,"7.44"
0030b00001vhkR3AAI,Governance,"6.83"
0030b00001vhkR3AAI,"Operational Excellence","5.688"
0030b00001vhl7jAAA,"Business Value","9.25"
0030b00001vhl7jAAA,Community,"9.1"
0030b00001vhl7jAAA,Enablement,"8.4"
0030b00001vhl7jAAA,Foundations,"7.88"
0030b00001vhl7jAAA,Governance,"9.025"
0030b00001vhl7jAAA,"Operational Excellence","8.792"
0030b00001vhlU9AAI,"Business Value",8
0030b00001vhlU9AAI,Enablement,"3.42"
0030b00001vhlU9AAI,Foundations,"8.23"
0030b00001vhlU9AAI,Governance,"7.28"
0030b00001vhlU9AAI,"Operational Excellence","6.544"
0030b00001vhmnNAAQ,"Business Value",10
0030b00001vhmnNAAQ,Community,10
0030b00001vhmnNAAQ,Enablement,10
0030b00001vhmnNAAQ,Foundations,"8.9"
0030b00001vhmnNAAQ,Governance,10
0030b00001vhmnNAAQ,"Operational Excellence",10
0030b00001vhnAfAAI,"Business Value","8.2"
0030b00001vhnAfAAI,Community,9
0030b00001vhnAfAAI,Enablement,9
0030b00001vhnAfAAI,Foundations,"7.31"
0030b00001vhnAfAAI,Governance,"8.1"
0030b00001vhnAfAAI,"Operational Excellence",9
0030b00001vhp6EAAQ,"Business Value","7.45"
0030b00001vhp6EAAQ,Community,"7.28"
0030b00001vhp6EAAQ,Enablement,"7.78"
0030b00001vhp6EAAQ,Foundations,"8.1"
0030b00001vhp6EAAQ,Governance,"6.835"
0030b00001vhp6EAAQ,"Operational Excellence",8
0030b00001vhtbKAAQ,"Business Value","5.25"
0030b00001vhtbKAAQ,Community,"4.94"
0030b00001vhtbKAAQ,Enablement,"0.8"
0030b00001vhtbKAAQ,Foundations,"3.32"
0030b00001vhtbKAAQ,Governance,"1.255"
0030b00001vhtbKAAQ,"Operational Excellence","2.904"
0033300001d4IkZAAU,"Business Value","7.65"
0033300001d4IkZAAU,Community,10
0033300001d4IkZAAU,Enablement,10
0033300001d4IkZAAU,Foundations,"9.23"
0033300001d4IkZAAU,Governance,"7.115"
0033300001d4IkZAAU,"Operational Excellence","7.596"
0033300001d4xX8AAI,"Business Value","8.15"
0033300001d4xX8AAI,Community,"5.82"
0033300001d4xX8AAI,Enablement,"5.36"
0033300001d4xX8AAI,Foundations,"8.9"
0033300001d4xX8AAI,Governance,"6.345"
0033300001d4xX8AAI,"Operational Excellence","7.39"
0033300001d54BZAAY,"Business Value","7.25"
0033300001d54BZAAY,Community,"9.2"
0033300001d54BZAAY,Enablement,"6.72"
0033300001d54BZAAY,Foundations,"8.22"
0033300001d54BZAAY,Governance,"4.085"
0033300001d54BZAAY,"Operational Excellence","6.508"
0033300001d56lGAAQ,"Business Value","5.8"
0033300001d56lGAAQ,Community,"4.88"
0033300001d56lGAAQ,Enablement,"5.36"
0033300001d56lGAAQ,Foundations,"5.32"
0033300001d56lGAAQ,Governance,"4.705"
0033300001d56lGAAQ,"Operational Excellence","5.466"
0033300001d596aAAA,"Business Value",5
0033300001d596aAAA,Community,"8.2"
0033300001d596aAAA,Enablement,"5.02"
0033300001d596aAAA,Foundations,"5.68"
0033300001d596aAAA,Governance,"4.51"
0033300001d596aAAA,"Operational Excellence","5.482"
0033300001ddDkKAAU,Foundations,"3.02"
0033300001ddI0YAAU,"Business Value",10
0033300001ddI0YAAU,Community,"9.3"
0033300001ddI0YAAU,Enablement,"5.34"
0033300001ddI0YAAU,Foundations,10
0033300001ddI0YAAU,Governance,"7.935"
0033300001ddI0YAAU,"Operational Excellence","6.418"
0033300001ddJf9AAE,"Business Value",8
0033300001ddJf9AAE,Community,"7.7"
0033300001ddJf9AAE,Enablement,"7.58"
0033300001ddJf9AAE,Foundations,"7.25"
0033300001ddJf9AAE,Governance,"6.46"
0033300001ddJf9AAE,"Operational Excellence","8.024"
0033300001diTMZAA2,"Business Value","5.35"
0033300001diTMZAA2,Community,"5.2"
0033300001diTMZAA2,Enablement,"5.58"
0033300001diTMZAA2,Foundations,"6.26"
0033300001diTMZAA2,Governance,"5.2"
0033300001diTMZAA2,"Operational Excellence","5.226"
0033300001e6oUrAAI,"Business Value","7.9"
0033300001e6oUrAAI,Community,"7.8"
0033300001e6oUrAAI,Enablement,"7.64"
0033300001e6oUrAAI,Foundations,7
0033300001e6oUrAAI,Governance,"7.885"
0033300001e6oUrAAI,"Operational Excellence","7.48"
0033300001e8cqDAAQ,"Business Value","7.45"
0033300001e8cqDAAQ,Community,"6.04"
0033300001e8cqDAAQ,Enablement,"4.78"
0033300001e8cqDAAQ,Foundations,"4.87"
0033300001e8cqDAAQ,Governance,"5.935"
0033300001e8cqDAAQ,"Operational Excellence","6.78"
0033300001eNWW4AAO,"Business Value",10
0033300001eNWW4AAO,Community,10
0033300001eNWW4AAO,Enablement,10
0033300001eNWW4AAO,Foundations,10
0033300001eNWW4AAO,Governance,10
0033300001eNWW4AAO,"Operational Excellence",10
0033300001erl2qAAA,"Business Value","3.75"
0033300001erl2qAAA,Community,"1.58"
0033300001erl2qAAA,Enablement,"2.74"
0033300001erl2qAAA,Foundations,"3.19"
0033300001erl2qAAA,Governance,"5.295"
0033300001erl2qAAA,"Operational Excellence","6.116"
0033300001eroX5AAI,"Business Value",9
0033300001eroX5AAI,Community,9
0033300001eroX5AAI,Enablement,9
0033300001eroX5AAI,Foundations,"7.77"
0033300001eroX5AAI,Governance,9
0033300001eroX5AAI,"Operational Excellence",9
0033300001es39RAAQ,"Business Value","6.5"
0033300001es39RAAQ,Community,"6.34"
0033300001es39RAAQ,Enablement,"4.74"
0033300001es39RAAQ,Foundations,"6.57"
0033300001es39RAAQ,Governance,"5.65"
0033300001es39RAAQ,"Operational Excellence","7.532"
0033300001esPTfAAM,"Business Value","6.3"
0033300001esPTfAAM,Foundations,"7.56"
0033300001estdJAAQ,"Business Value","6.3"
0033300001estdJAAQ,Community,"3.8"
0033300001estdJAAQ,Enablement,"4.56"
0033300001estdJAAQ,Foundations,"7.46"
0033300001estdJAAQ,Governance,6
0033300001estdJAAQ,"Operational Excellence","6.208"
0033300001etIT4AAM,"Business Value","4.3"
0033300001etIT4AAM,Community,"1.96"
0033300001etIT4AAM,Enablement,"1.66"
0033300001etIT4AAM,Foundations,"3.11"
0033300001etIT4AAM,Governance,"2.885"
0033300001etIT4AAM,"Operational Excellence","3.43"
0033300001fAVNtAAO,"Business Value","7.65"
0033300001fAVNtAAO,Community,"7.78"
0033300001fAVNtAAO,Enablement,"7.42"
0033300001fAVNtAAO,Foundations,"7.1"
0033300001fAVNtAAO,Governance,"7.385"
0033300001fAVNtAAO,"Operational Excellence","7.974"
0033300001fAeJsAAK,"Business Value","6.1"
0033300001fAeJsAAK,Community,"7.72"
0033300001fAeJsAAK,Enablement,"5.5"
0033300001fAeJsAAK,Foundations,"9.12"
0033300001fAeJsAAK,Governance,"7.525"
0033300001fAeJsAAK,"Operational Excellence","7.704"
0033300001fAeyWAAS,"Business Value","6.2"
0033300001fAeyWAAS,Community,6
0033300001fAeyWAAS,Enablement,"6.02"
0033300001fAeyWAAS,Foundations,"6.68"
0033300001fAeyWAAS,Governance,"8.5"
0033300001fAeyWAAS,"Operational Excellence","9.688"
0033300001fBBlCAAW,"Business Value","2.8"
0033300001fBBlCAAW,Enablement,"5.04"
0033300001fBBlCAAW,Foundations,"3.23"
0033300001fBBlCAAW,Governance,"5.05"
0033300001fBBlCAAW,"Operational Excellence","3.416"
0033300001fBT1S,"Business Value",7
0033300001fBT1S,Community,"5.22"
0033300001fBT1S,Enablement,"4.64"
0033300001fBT1S,Foundations,"8.32"
0033300001fBT1S,Governance,"8.64"
0033300001fBT1S,"Operational Excellence","8.314"
0033300001fBTNYAA4,"Business Value","5.25"
0033300001fBTNYAA4,Community,"7.66"
0033300001fBTNYAA4,Enablement,"5.62"
0033300001fBTNYAA4,Foundations,"4.89"
0033300001fBTNYAA4,Governance,"4.81"
0033300001fBTNYAA4,"Operational Excellence","5.338"
0033300001fBXzjAAG,"Business Value","2.25"
0033300001fBXzjAAG,Community,"2.66"
0033300001fBXzjAAG,Enablement,"1.02"
0033300001fBXzjAAG,Foundations,0
0033300001fBXzjAAG,Governance,"0.68"
0033300001fBXzjAAG,"Operational Excellence","1.65"
0033300001fBZboAAG,"Business Value","6.25"
0033300001fBZboAAG,Community,"7.14"
0033300001fBZboAAG,Enablement,"6.6"
0033300001fBZboAAG,Foundations,"3.23"
0033300001fBZboAAG,Governance,"7.64"
0033300001fBZboAAG,"Operational Excellence","6.61"
0033300001fBmcRAAS,"Business Value","1.4"
0033300001fBmcRAAS,Community,"3.52"
0033300001fBmcRAAS,Enablement,"4.32"
0033300001fBmcRAAS,Foundations,"3.83"
0033300001fBmcRAAS,Governance,"2.14"
0033300001fBmcRAAS,"Operational Excellence","5.25"
0033300001fBp9fAAC,"Business Value","2.75"
0033300001fBp9fAAC,Community,"5.22"
0033300001fBp9fAAC,Enablement,"2.68"
0033300001fBp9fAAC,Foundations,"5.46"
0033300001fBp9fAAC,Governance,"3.485"
0033300001fBp9fAAC,"Operational Excellence",3
0033300001fP4sgAAC,"Business Value","4.55"
0033300001fP4sgAAC,Community,"7.4"
0033300001fP4sgAAC,Enablement,"5.68"
0033300001fP4sgAAC,Foundations,"4.78"
0033300001fP4sgAAC,Governance,"4.065"
0033300001fP4sgAAC,"Operational Excellence","6.496"
0033300001fPL6EAAW,"Business Value",9
0033300001fPL6EAAW,Community,9
0033300001fPL6EAAW,Enablement,9
0033300001fPL6EAAW,Foundations,9
0033300001fPL6EAAW,Governance,9
0033300001fPL6EAAW,"Operational Excellence",9
0033300001fPnhcAAC,"Business Value","6.6"
0033300001fPnhcAAC,Community,7
0033300001fPnhcAAC,Enablement,7
0033300001fPnhcAAC,Foundations,"6.23"
0033300001fPnhcAAC,Governance,"7.09"
0033300001fPnhcAAC,"Operational Excellence","7.624"
0033300001fPyzy,"Business Value",7
0033300001fPyzy,Community,7
0033300001fPyzy,Enablement,7
0033300001fPyzy,Foundations,7
0033300001fPyzy,Governance,7
0033300001fPyzy,"Operational Excellence",7
0033300001fQDq8AAG,Foundations,"0.55"
0033300001fQtAyAAK,"Business Value","2.85"
0033300001fQtAyAAK,Community,"0.66"
0033300001fQtAyAAK,Enablement,"1.7"
0033300001fQtAyAAK,Foundations,"2.33"
0033300001fQtAyAAK,Governance,"3.04"
0033300001fQtAyAAK,"Operational Excellence","3.352"
0033300001fRGb3AAG,"Business Value","5.65"
0033300001fRGb3AAG,Community,"9.48"
0033300001fRGb3AAG,Enablement,"9.12"
0033300001fRGb3AAG,Foundations,"7.89"
0033300001fRGb3AAG,Governance,"8.215"
0033300001fRGb3AAG,"Operational Excellence","9.584"
0033300001fRPr1AAG,"Business Value","3.75"
0033300001fRPr1AAG,Community,"5.16"
0033300001fRPr1AAG,Enablement,"6.92"
0033300001fRPr1AAG,Foundations,"4.8"
0033300001fRPr1AAG,Governance,"7.5"
0033300001fRPr1AAG,"Operational Excellence","9.064"
0033300001fRUSRAA4,"Business Value","4.55"
0033300001fRUSRAA4,Community,"2.26"
0033300001fRUSRAA4,Enablement,"2.4"
0033300001fRUSRAA4,Foundations,"6.02"
0033300001fRUSRAA4,Governance,"6.13"
0033300001fRUSRAA4,"Operational Excellence","5.574"
0033300001fwUU3AAM,"Business Value","6.4"
0033300001fwUU3AAM,Community,"4.62"
0033300001fwUU3AAM,Enablement,"3.56"
0033300001fwUU3AAM,Foundations,"4.91"
0033300001fwUU3AAM,Governance,"3.205"
0033300001fwUU3AAM,"Operational Excellence","5.856"
0033300001fxQuzAAE,"Business Value","6.7"
0033300001fxQuzAAE,Community,"8.8"
0033300001fxQuzAAE,Enablement,"6.46"
0033300001fxQuzAAE,Foundations,"8.01"
0033300001fxQuzAAE,Governance,"7.305"
0033300001fxQuzAAE,"Operational Excellence","6.974"
0033300001fy8ppAAA,"Business Value","8.15"
0033300001fy8ppAAA,Community,"9.42"
0033300001fy8ppAAA,Enablement,"7.76"
0033300001fy8ppAAA,Foundations,9
0033300001fy8ppAAA,Governance,"8.09"
0033300001fy8ppAAA,"Operational Excellence","8.896"
0033300001fyajUAAQ,"Business Value","4.15"
0033300001fyajUAAQ,Community,"2.42"
0033300001fyajUAAQ,Enablement,"3.6"
0033300001fyajUAAQ,Foundations,"4.67"
0033300001fyajUAAQ,Governance,"4.435"
0033300001fyajUAAQ,"Operational Excellence","5.352"
0033300001g87Y2AAI,Foundations,"7.88"
0033300001gPTx0AAG,"Business Value","1.85"
0033300001gPTx0AAG,Community,"5.26"
0033300001gPTx0AAG,Enablement,"3.08"
0033300001gPTx0AAG,Foundations,"0.9"
0033300001gPTx0AAG,Governance,"2.385"
0033300001gPTx0AAG,"Operational Excellence","3.366"
0033300001gPYq9AAG,"Business Value",7
0033300001gPYq9AAG,Community,7
0033300001gPYq9AAG,Enablement,7
0033300001gPYq9AAG,Foundations,"5.79"
0033300001gPYq9AAG,Governance,7
0033300001gPYq9AAG,"Operational Excellence",7
0033300001gROhdAAG,"Business Value","5.85"
0033300001gROhdAAG,Community,"1.9"
0033300001gROhdAAG,Enablement,"0.72"
0033300001gROhdAAG,Foundations,"6.11"
0033300001gROhdAAG,Governance,"5.705"
0033300001gROhdAAG,"Operational Excellence","1.976"
0033300001gRrsZAAS,"Business Value","4.05"
0033300001gRrsZAAS,Enablement,"3.84"
0033300001gRrsZAAS,Foundations,"6.79"
0033300001gRrsZAAS,Governance,"4.19"
0033300001gRrsZAAS,"Operational Excellence","2.808"
0033300001gRxtZ,Foundations,"7.36"
0033300001gSgz2AAC,"Business Value","4.05"
0033300001gSgz2AAC,Community,"2.52"
0033300001gSgz2AAC,Enablement,"3.9"
0033300001gSgz2AAC,Foundations,"4.23"
0033300001gSgz2AAC,Governance,"3.05"
0033300001gSgz2AAC,"Operational Excellence","5.14"
0033300001gTY1TAAW,"Business Value","3.1"
0033300001gTY1TAAW,Community,"2.78"
0033300001gTY1TAAW,Enablement,3
0033300001gTY1TAAW,Foundations,"4.8"
0033300001gTY1TAAW,Governance,"2.935"
0033300001gTY1TAAW,"Operational Excellence","5.834"
0033300001gsuvzAAA,"Business Value","9.4"
0033300001gsuvzAAA,Community,"6.3"
0033300001gsuvzAAA,Enablement,"7.26"
0033300001gsuvzAAA,Foundations,"7.82"
0033300001gsuvzAAA,Governance,"7.895"
0033300001gsuvzAAA,"Operational Excellence","8.856"
0033300001gtSSzAAM,"Business Value","4.55"
0033300001gtSSzAAM,Community,"6.56"
0033300001gtSSzAAM,Enablement,"5.76"
0033300001gtSSzAAM,Foundations,"4.45"
0033300001gtSSzAAM,Governance,"3.085"
0033300001gtSSzAAM,"Operational Excellence","7.192"
0033300001h5Uj4AAE,"Business Value","4.2"
0033300001h5Uj4AAE,Community,"6.2"
0033300001h5Uj4AAE,Enablement,"6.16"
0033300001h5Uj4AAE,Foundations,"2.15"
0033300001h5Uj4AAE,Governance,"5.085"
0033300001h5Uj4AAE,"Operational Excellence","7.726"
0033300001h5vtTAAQ,"Business Value","2.75"
0033300001h5vtTAAQ,Community,"1.56"
0033300001h5vtTAAQ,Enablement,"1.34"
0033300001h5vtTAAQ,Foundations,"2.14"
0033300001h5vtTAAQ,Governance,"0.18"
0033300001h5vtTAAQ,"Operational Excellence","2.468"
0033300001h7LkkAAE,Foundations,"2.15"
0033300001h7cKSAAY,"Business Value","9.35"
0033300001h7cKSAAY,Community,"9.1"
0033300001h7cKSAAY,Enablement,"8.24"
0033300001h7cKSAAY,Foundations,"9.34"
0033300001h7cKSAAY,Governance,"7.82"
0033300001h7cKSAAY,"Operational Excellence","9.636"
0033300001h81XtAAI,"Business Value","5.55"
0033300001h81XtAAI,Community,"5.84"
0033300001h81XtAAI,Enablement,"6.36"
0033300001h81XtAAI,Foundations,"5.21"
0033300001h81XtAAI,Governance,"3.33"
0033300001h81XtAAI,"Operational Excellence","6.222"
0033300001h8OwMAAU,"Business Value","7.3"
0033300001h8OwMAAU,Community,"8.12"
0033300001h8OwMAAU,Enablement,"4.14"
0033300001h8OwMAAU,Foundations,"7.77"
0033300001h8OwMAAU,Governance,"5.87"
0033300001h8OwMAAU,"Operational Excellence","5.184"
0033300001h8cCSAAY,"Business Value","5.5"
0033300001h8cCSAAY,Community,"6.46"
0033300001h8cCSAAY,Enablement,"3.74"
0033300001h8cCSAAY,Foundations,"1.89"
0033300001h8cCSAAY,Governance,"2.585"
0033300001h8cCSAAY,"Operational Excellence","5.784"
0033300001h9OC0AAM,"Business Value","2.05"
0033300001h9OC0AAM,Community,"2.56"
0033300001h9OC0AAM,Enablement,"1.68"
0033300001h9OC0AAM,Foundations,"5.22"
0033300001h9OC0AAM,Governance,"2.855"
0033300001h9OC0AAM,"Operational Excellence","3.314"
0033300001h9R7JAAU,"Business Value","6.1"
0033300001h9R7JAAU,Community,10
0033300001h9R7JAAU,Enablement,"7.96"
0033300001h9R7JAAU,Foundations,"9.89"
0033300001h9R7JAAU,Governance,"9.705"
0033300001h9R7JAAU,"Operational Excellence","9.598"
0033300001h9U9MAAU,"Business Value","5.7"
0033300001h9U9MAAU,Community,"6.5"
0033300001h9U9MAAU,Enablement,"7.8"
0033300001h9U9MAAU,Foundations,"7.47"
0033300001h9U9MAAU,Governance,"6.69"
0033300001h9U9MAAU,"Operational Excellence","8.352"
0033300001hhGlZAAU,"Business Value","5.1"
0033300001hhGlZAAU,Community,"5.4"
0033300001hhGlZAAU,Enablement,"4.18"
0033300001hhGlZAAU,Foundations,"5.19"
0033300001hhGlZAAU,Governance,"4.27"
0033300001hhGlZAAU,"Operational Excellence","4.376"
0033300001hhou8AAA,"Business Value","7.05"
0033300001hhou8AAA,Community,"9.12"
0033300001hhou8AAA,Enablement,"8.18"
0033300001hhou8AAA,Foundations,"6.87"
0033300001hhou8AAA,Governance,"9.19"
0033300001hhou8AAA,"Operational Excellence","9.454"
0033300001hhu4NAAQ,"Business Value","1.3"
0033300001hhu4NAAQ,Community,4
0033300001hhu4NAAQ,Enablement,"1.16"
0033300001hhu4NAAQ,Foundations,"0.33"
0033300001hhu4NAAQ,Governance,"1.63"
0033300001hhu4NAAQ,"Operational Excellence","2.08"
0033300001hiO6EAAU,"Business Value","5.65"
0033300001hiO6EAAU,Community,"5.08"
0033300001hiO6EAAU,Enablement,"5.8"
0033300001hiO6EAAU,Foundations,"7.01"
0033300001hiO6EAAU,Governance,"5.425"
0033300001hiO6EAAU,"Operational Excellence","5.832"
0033300001hietUAAQ,"Business Value","6.5"
0033300001hietUAAQ,Community,"5.6"
0033300001hietUAAQ,Enablement,"5.68"
0033300001hietUAAQ,Foundations,"5.24"
0033300001hietUAAQ,Governance,"5.82"
0033300001hietUAAQ,"Operational Excellence","6.272"
0033300001hjEXhAAM,"Business Value","8.5"
0033300001hjEXhAAM,Community,"8.32"
0033300001hjEXhAAM,Enablement,"8.1"
0033300001hjEXhAAM,Foundations,"7.66"
0033300001hjEXhAAM,Governance,"8.705"
0033300001hjEXhAAM,"Operational Excellence","8.402"
0033300001hjZxYAAU,"Business Value","5.95"
0033300001hjZxYAAU,Community,"5.64"
0033300001hjZxYAAU,Enablement,"4.48"
0033300001hjZxYAAU,Foundations,"6.21"
0033300001hjZxYAAU,Governance,"5.795"
0033300001hjZxYAAU,"Operational Excellence","6.262"
0033300001hkX7CAAU,"Business Value","1.95"
0033300001hkX7CAAU,Community,"2.06"
0033300001hkX7CAAU,Enablement,1
0033300001hkX7CAAU,Foundations,"7.78"
0033300001hkX7CAAU,Governance,"6.765"
0033300001hkX7CAAU,"Operational Excellence","5.04"
0033300001hkeQIAAY,"Business Value","8.05"
0033300001hkeQIAAY,Community,"3.4"
0033300001hkeQIAAY,Enablement,"4.9"
0033300001hkeQIAAY,Foundations,"6.67"
0033300001hkeQIAAY,Governance,"7.315"
0033300001hkeQIAAY,"Operational Excellence","8.234"
0033300001hkqF8AAI,"Business Value","7.55"
0033300001hkqF8AAI,Community,"7.18"
0033300001hkqF8AAI,Enablement,"8.02"
0033300001hkqF8AAI,Foundations,"7.77"
0033300001hkqF8AAI,Governance,"6.935"
0033300001hkqF8AAI,"Operational Excellence","8.208"
0033300001hksPj,Foundations,"4.39"
0033300001iBDVk,Foundations,"2.8"
0033300001iCrrPAAS,"Business Value","9.05"
0033300001iCrrPAAS,Community,"8.5"
0033300001iCrrPAAS,Enablement,"7.36"
0033300001iCrrPAAS,Foundations,"8.45"
0033300001iCrrPAAS,Governance,"9.18"
0033300001iCrrPAAS,"Operational Excellence","7.688"
0033300001iCuAGAA0,"Business Value","3.05"
0033300001iCuAGAA0,Community,"5.8"
0033300001iCuAGAA0,Enablement,"2.02"
0033300001iCuAGAA0,Foundations,"3.78"
0033300001iCuAGAA0,Governance,"5.01"
0033300001iCuAGAA0,"Operational Excellence","4.962"
0033300001iDEVS,"Business Value",10
0033300001iDEVS,Community,10
0033300001iDEVS,Enablement,10
0033300001iDEVS,Foundations,"8.45"
0033300001iDEVS,Governance,10
0033300001iDEVS,"Operational Excellence",10
0033300001iDVKSAA4,"Business Value","5.65"
0033300001iDVKSAA4,Community,"7.58"
0033300001iDVKSAA4,Enablement,"2.74"
0033300001iDVKSAA4,Foundations,"8.23"
0033300001iDVKSAA4,Governance,"4.91"
0033300001iDVKSAA4,"Operational Excellence","6.416"
0033300001iEWeLAAW,"Business Value","7.4"
0033300001iEWeLAAW,Community,"5.62"
0033300001iEWeLAAW,Enablement,"6.14"
0033300001iEWeLAAW,Foundations,"8.24"
0033300001iEWeLAAW,Governance,"7.015"
0033300001iEWeLAAW,"Operational Excellence","8.054"
0033300001iVp3MAAS,"Business Value","5.6"
0033300001iVp3MAAS,Community,"4.4"
0033300001iVp3MAAS,Enablement,"5.52"
0033300001iVp3MAAS,Foundations,"5.24"
0033300001iVp3MAAS,Governance,"4.615"
0033300001iVp3MAAS,"Operational Excellence","6.012"
0033300001iWHGTAA4,"Business Value","8.75"
0033300001iWHGTAA4,Community,"7.64"
0033300001iWHGTAA4,Enablement,"7.12"
0033300001iWHGTAA4,Foundations,"8.57"
0033300001iWHGTAA4,Governance,"9.09"
0033300001iWHGTAA4,"Operational Excellence","8.804"
0033300001iYtKs,"Business Value",8
0033300001iYtKs,Community,"8.36"
0033300001iYtKs,Enablement,"3.9"
0033300001iYtKs,Foundations,"9.23"
0033300001iYtKs,Governance,"5.595"
0033300001iYtKs,"Operational Excellence","5.996"
0033300001iYx0m,"Business Value","6.8"
0033300001iYx0m,Community,"8.6"
0033300001iYx0m,Enablement,"7.56"
0033300001iYx0m,Foundations,"8.55"
0033300001iYx0m,Governance,"7.5"
0033300001iYx0m,"Operational Excellence","9.026"
0033300001iZX3WAAW,"Business Value","3.2"
0033300001iZX3WAAW,Community,"5.94"
0033300001iZX3WAAW,Enablement,"4.36"
0033300001iZX3WAAW,Foundations,"2.72"
0033300001iZX3WAAW,Governance,"2.97"
0033300001iZX3WAAW,"Operational Excellence","4.888"
0033300001izMBrAAM,"Business Value","4.55"
0033300001izMBrAAM,Community,"5.1"
0033300001izMBrAAM,Enablement,"5.12"
0033300001izMBrAAM,Foundations,"4.87"
0033300001izMBrAAM,Governance,"3.91"
0033300001izMBrAAM,"Operational Excellence","5.586"
0033300001izRX0AAM,"Business Value","9.25"
0033300001izRX0AAM,Community,"7.74"
0033300001izRX0AAM,Enablement,"7.88"
0033300001izRX0AAM,Foundations,10
0033300001izRX0AAM,Governance,"8.28"
0033300001izRX0AAM,"Operational Excellence","8.792"
0033300001j1Oo1AAE,"Business Value","6.7"
0033300001j1Oo1AAE,Foundations,"7.22"
0033300001j1RR1AAM,"Business Value","8.6"
0033300001j1RR1AAM,Community,"8.1"
0033300001j1RR1AAM,Enablement,"8.54"
0033300001j1RR1AAM,Foundations,"8.11"
0033300001j1RR1AAM,Governance,"8.91"
0033300001j1RR1AAM,"Operational Excellence","8.936"
0033300001j1owGAAQ,"Business Value","8.85"
0033300001j1owGAAQ,Community,"9.8"
0033300001j1owGAAQ,Enablement,"7.48"
0033300001j1owGAAQ,Foundations,"7.25"
0033300001j1owGAAQ,Governance,"5.255"
0033300001j1owGAAQ,"Operational Excellence","6.714"
0033300001j2BZ1AAM,Enablement,"2.16"
0033300001j2BZ1AAM,"Operational Excellence","3.432"
0033300001j2OXVAA2,"Business Value","8.6"
0033300001j2OXVAA2,Community,"6.42"
0033300001j2OXVAA2,Enablement,"7.36"
0033300001j2OXVAA2,Foundations,"7.22"
0033300001j2OXVAA2,Governance,"7.59"
0033300001j2OXVAA2,"Operational Excellence","7.988"
0033300001j2hkLAAQ,"Business Value","5.8"
0033300001j2hkLAAQ,Community,"6.28"
0033300001j2hkLAAQ,Enablement,"4.36"
0033300001j2hkLAAQ,Foundations,"8.54"
0033300001j2hkLAAQ,Governance,"7.6"
0033300001j2hkLAAQ,"Operational Excellence","8.132"
0033300001j2q97AAA,"Business Value","7.85"
0033300001j2q97AAA,Community,"7.46"
0033300001j2q97AAA,Enablement,"7.18"
0033300001j2q97AAA,Foundations,"7.55"
0033300001j2q97AAA,Governance,"5.49"
0033300001j2q97AAA,"Operational Excellence","8.48"
0033300001jOFxjAAG,"Business Value","8.85"
0033300001jOFxjAAG,Community,"7.38"
0033300001jOFxjAAG,Enablement,"8.32"
0033300001jOFxjAAG,Foundations,"7.23"
0033300001jOFxjAAG,Governance,"7.82"
0033300001jOFxjAAG,"Operational Excellence","8.442"
0033300001jOHi2AAG,"Business Value","1.55"
0033300001jOHi2AAG,Community,"3.06"
0033300001jOHi2AAG,Enablement,"2.34"
0033300001jOHi2AAG,Foundations,"4.59"
0033300001jOHi2AAG,Governance,"5.09"
0033300001jOHi2AAG,"Operational Excellence","4.324"
0033300001jOyDx,"Business Value","6.3"
0033300001jOyDx,Community,"7.4"
0033300001jOyDx,Enablement,"4.34"
0033300001jOyDx,Foundations,"7.22"
0033300001jOyDx,Governance,"6.665"
0033300001jOyDx,"Operational Excellence","8.584"
0033300001jPAj4AAG,"Business Value","6.85"
0033300001jPAj4AAG,Community,5
0033300001jPAj4AAG,Enablement,"5.22"
0033300001jPAj4AAG,Foundations,"7.68"
0033300001jPAj4AAG,Governance,"6.95"
0033300001jPAj4AAG,"Operational Excellence","8.456"
0033300001jPVDSAA4,"Business Value","8.15"
0033300001jPVDSAA4,Community,"6.76"
0033300001jPVDSAA4,Enablement,"6.64"
0033300001jPVDSAA4,Foundations,"6.77"
0033300001jPVDSAA4,Governance,"8.73"
0033300001jPVDSAA4,"Operational Excellence","7.688"
0033300001jPXVbAAO,"Business Value","4.75"
0033300001jPXVbAAO,Community,"6.4"
0033300001jPXVbAAO,Enablement,"4.1"
0033300001jPXVbAAO,Foundations,"3.23"
0033300001jPXVbAAO,Governance,"3.955"
0033300001jPXVbAAO,"Operational Excellence","6.874"
0033300001jS0bmAAC,"Business Value","8.6"
