category,axis,value
0030b00001dpKkrAAE,Community,"3.3"
0030b00001dpKkrAAE,Enablement,"2.88"
0030b00001dpKkrAAE,Foundations,"4.11"
0030b00001dpKkrAAE,Governance,"2.36"
0030b00001dpKkrAAE,"Operational Excellence","2.858"
0030b00001dpMuaAAE,"Business Value","4.25"
0030b00001dpMuaAAE,Community,"4.96"
0030b00001dpMuaAAE,Enablement,"5.72"
0030b00001dpMuaAAE,Foundations,"5.14"
0030b00001dpMuaAAE,Governance,"5.42"
0030b00001dpMuaAAE,"Operational Excellence","6.868"
0030b00001dpWhNAAU,"Business Value",10
0030b00001dpWhNAAU,Community,9
0030b00001dpWhNAAU,Enablement,9
0030b00001dpWhNAAU,Foundations,10
0030b00001dpWhNAAU,Governance,"5.66"
0030b00001dpWhNAAU,"Operational Excellence","7.792"
0030b00001dpb2cAAA,"Business Value","9.15"
0030b00001dpb2cAAA,Community,"9.38"
0030b00001dpb2cAAA,Enablement,"8.82"
0030b00001dpb2cAAA,Foundations,"9.34"
0030b00001dpb2cAAA,Governance,"6.985"
0030b00001dpb2cAAA,"Operational Excellence","9.506"
0030b00001dph0uAAA,"Business Value","9.65"
0030b00001dph0uAAA,Community,"8.9"
0030b00001dph0uAAA,Enablement,"8.3"
0030b00001dph0uAAA,Foundations,"7.87"
0030b00001dph0uAAA,Governance,"9.91"
0030b00001dph0uAAA,"Operational Excellence",10
0030b00001dpiOMAAY,"Business Value","6.85"
0030b00001dpiOMAAY,Community,"7.54"
0030b00001dpiOMAAY,Enablement,"7.54"
0030b00001dpiOMAAY,Foundations,"6.9"
0030b00001dpiOMAAY,Governance,"7.5"
0030b00001dpiOMAAY,"Operational Excellence","7.61"
0030b00001dpysKAAQ,"Business Value","4.5"
0030b00001dpysKAAQ,Community,"6.16"
0030b00001dpysKAAQ,Enablement,"3.1"
0030b00001dpysKAAQ,Foundations,"8.11"
0030b00001dpysKAAQ,Governance,"5.36"
0030b00001dpysKAAQ,"Operational Excellence","4.768"
0030b00001uxbZZAAY,"Business Value","1.7"
0030b00001uxbZZAAY,Community,3
0030b00001uxbZZAAY,Enablement,"1.42"
0030b00001uxbZZAAY,Foundations,"3.35"
0030b00001uxbZZAAY,Governance,"1.6"
0030b00001uxbZZAAY,"Operational Excellence","3.848"
0030b00001uxd0PAAQ,"Business Value","1.75"
0030b00001uxd0PAAQ,Community,"2.8"
0030b00001uxd0PAAQ,Enablement,"1.34"
0030b00001uxd0PAAQ,Foundations,"2.39"
0030b00001uxd0PAAQ,Governance,"1.73"
0030b00001uxd0PAAQ,"Operational Excellence","2.026"
0030b00001uxg2KAAQ,Community,"4.36"
0030b00001uxt3aAAA,"Business Value","3.1"
0030b00001uxt3aAAA,Community,"6.86"
0030b00001uxt3aAAA,Enablement,"3.22"
0030b00001uxt3aAAA,Foundations,"3.69"
0030b00001uxt3aAAA,Governance,"1.88"
0030b00001uxt3aAAA,"Operational Excellence","3.952"
0030b00001uxuEHAAY,"Business Value","7.1"
0030b00001uxuEHAAY,Community,"4.72"
0030b00001uxuEHAAY,Enablement,"4.36"
0030b00001uxuEHAAY,Foundations,"8.35"
0030b00001uxuEHAAY,Governance,"5.795"
0030b00001uxuEHAAY,"Operational Excellence","5.312"
0030b00001uxuNOAAY,"Business Value","6.5"
0030b00001uxuNOAAY,Community,"7.72"
0030b00001uxuNOAAY,Enablement,"5.24"
0030b00001uxuNOAAY,Foundations,"5.79"
0030b00001uxuNOAAY,Governance,5
0030b00001uxuNOAAY,"Operational Excellence","6.584"
0030b00001uxvwl,Foundations,"4.38"
0030b00001uy6dAAAQ,"Business Value",8
0030b00001uy6dAAAQ,Community,"5.32"
0030b00001uy6dAAAQ,Enablement,"4.36"
0030b00001uy6dAAAQ,Foundations,"3.35"
0030b00001uy6dAAAQ,Governance,"5.87"
0030b00001uy6dAAAQ,"Operational Excellence","4.19"
0030b00001uy7QHAAY,"Business Value","6.2"
0030b00001uy7QHAAY,Community,"6.38"
0030b00001uy7QHAAY,Enablement,"5.98"
0030b00001uy7QHAAY,Foundations,"5.67"
0030b00001uy7QHAAY,Governance,"5.05"
0030b00001uy7QHAAY,"Operational Excellence","7.482"
0030b00001uy9BiAAI,"Business Value",5
0030b00001uy9BiAAI,Community,"5.16"
0030b00001uy9BiAAI,Enablement,"0.48"
0030b00001uy9BiAAI,Foundations,"6.55"
0030b00001uy9BiAAI,Governance,5
0030b00001uy9BiAAI,"Operational Excellence","4.456"
0030b00001uy9P5AAI,"Business Value","8.65"
0030b00001uy9P5AAI,Community,4
0030b00001uy9P5AAI,Enablement,"4.34"
0030b00001uy9P5AAI,Foundations,"8.77"
0030b00001uy9P5AAI,Governance,"5.215"
0030b00001uy9P5AAI,"Operational Excellence","5.638"
0030b00001uyOGPAA2,"Business Value","8.05"
0030b00001uyOGPAA2,Community,10
0030b00001uyOGPAA2,Enablement,10
0030b00001uyOGPAA2,Foundations,"8.22"
0030b00001uyOGPAA2,Governance,"9.115"
0030b00001uyOGPAA2,"Operational Excellence",9
0030b00001uySSEAA2,"Business Value","5.55"
0030b00001uySSEAA2,Community,"5.62"
0030b00001uySSEAA2,Enablement,"5.76"
0030b00001uySSEAA2,Foundations,"6.44"
0030b00001uySSEAA2,Governance,"6.18"
0030b00001uySSEAA2,"Operational Excellence",6
0030b00001uySlMAAU,"Business Value","7.55"
0030b00001uySlMAAU,Community,"9.44"
0030b00001uySlMAAU,Enablement,"9.68"
0030b00001uySlMAAU,Foundations,"8.79"
0030b00001uySlMAAU,Governance,"9.025"
0030b00001uySlMAAU,"Operational Excellence","9.248"
0030b00001uybMVAAY,"Business Value",8
0030b00001uybMVAAY,Community,"6.54"
0030b00001uybMVAAY,Enablement,"7.54"
0030b00001uybMVAAY,Foundations,"7.17"
0030b00001uybMVAAY,Governance,"7.115"
0030b00001uybMVAAY,"Operational Excellence","6.986"
0030b00001uyi5lAAA,"Business Value","7.1"
0030b00001uyi5lAAA,Community,"6.98"
0030b00001uyi5lAAA,Enablement,"6.26"
0030b00001uyi5lAAA,Foundations,"6.89"
0030b00001uyi5lAAA,Governance,"6.935"
0030b00001uyi5lAAA,"Operational Excellence","7.248"
0030b00001uzGypAAE,"Business Value",5
0030b00001uzGypAAE,Community,5
0030b00001uzGypAAE,Enablement,5
0030b00001uzGypAAE,Foundations,5
0030b00001uzGypAAE,Governance,5
0030b00001uzGypAAE,"Operational Excellence",5
0030b00001uzIHgAAM,"Business Value","8.1"
0030b00001uzIHgAAM,Community,8
0030b00001uzIHgAAM,Enablement,"8.7"
0030b00001uzIHgAAM,Foundations,"6.45"
0030b00001uzIHgAAM,Governance,8
0030b00001uzIHgAAM,"Operational Excellence","8.208"
0030b00001uzKkYAAU,"Business Value","7.95"
0030b00001uzKkYAAU,Community,"8.08"
0030b00001uzKkYAAU,Enablement,8
0030b00001uzKkYAAU,Foundations,"8.56"
0030b00001uzKkYAAU,Governance,"7.215"
0030b00001uzKkYAAU,"Operational Excellence","8.196"
0030b00001uzM83AAE,"Business Value","7.3"
0030b00001uzM83AAE,Community,"8.16"
0030b00001uzM83AAE,Enablement,"8.26"
0030b00001uzM83AAE,Foundations,"7.77"
0030b00001uzM83AAE,Governance,"6.95"
0030b00001uzM83AAE,"Operational Excellence","7.936"
0030b00001uzRMlAAM,"Business Value","6.7"
0030b00001uzRMlAAM,Community,"4.94"
0030b00001uzRMlAAM,Enablement,"2.48"
0030b00001uzRMlAAM,Foundations,"6.56"
0030b00001uzRMlAAM,Governance,"4.795"
0030b00001uzRMlAAM,"Operational Excellence","3.56"
0030b00001uzSmNAAU,"Business Value","5.5"
0030b00001uzSmNAAU,Community,10
0030b00001uzSmNAAU,Enablement,"6.4"
0030b00001uzSmNAAU,Foundations,5
0030b00001uzSmNAAU,Governance,"6.09"
0030b00001uzSmNAAU,"Operational Excellence","7.104"
0030b00001uzbeUAAQ,"Business Value","4.1"
0030b00001uzbeUAAQ,Community,"0.84"
0030b00001uzbeUAAQ,Enablement,"0.6"
0030b00001uzbeUAAQ,Foundations,"6.57"
0030b00001uzbeUAAQ,Governance,"3.09"
0030b00001uzbeUAAQ,"Operational Excellence","7.314"
0030b00001uzeenAAA,"Business Value","1.85"
0030b00001uzeenAAA,Community,"2.96"
0030b00001uzeenAAA,Enablement,"1.56"
0030b00001uzeenAAA,Foundations,9
0030b00001uzeenAAA,Governance,"1.54"
0030b00001uzeenAAA,"Operational Excellence","1.638"
0030b00001uzfcnAAA,"Business Value",10
0030b00001uzfcnAAA,Community,10
0030b00001uzfcnAAA,Enablement,"9.42"
0030b00001uzfcnAAA,Foundations,10
0030b00001uzfcnAAA,Governance,10
0030b00001uzfcnAAA,"Operational Excellence","9.612"
0030b00001uzgogAAA,"Business Value","9.4"
0030b00001uzgogAAA,Community,"9.5"
0030b00001uzgogAAA,Enablement,10
0030b00001uzgogAAA,Foundations,10
0030b00001uzgogAAA,Governance,"9.385"
0030b00001uzgogAAA,"Operational Excellence","9.792"
0030b00001uzhFkAAI,"Business Value","9.5"
0030b00001uzhFkAAI,Community,"9.8"
0030b00001uzhFkAAI,Enablement,10
0030b00001uzhFkAAI,Foundations,"6.6"
0030b00001uzhFkAAI,Governance,"7.95"
0030b00001uzhFkAAI,"Operational Excellence","9.48"
0030b00001uzhZLAAY,"Business Value","6.15"
0030b00001uzhZLAAY,Community,"5.7"
0030b00001uzhZLAAY,Enablement,"7.72"
0030b00001uzhZLAAY,Foundations,"3.22"
0030b00001uzhZLAAY,Governance,"7.655"
0030b00001uzhZLAAY,"Operational Excellence","6.976"
0030b00001uzk5eAAA,"Business Value","5.9"
0030b00001uzk5eAAA,Community,"6.08"
0030b00001uzk5eAAA,Enablement,"4.12"
0030b00001uzk5eAAA,Foundations,"6.11"
0030b00001uzk5eAAA,Governance,"6.665"
0030b00001uzk5eAAA,"Operational Excellence","6.246"
0030b00001uzkRHAAY,"Business Value","8.1"
0030b00001uzkRHAAY,Foundations,"7.02"
0030b00001uzkRHAAY,Governance,"5.09"
0030b00001uzkRHAAY,"Operational Excellence","1.56"
0030b00001uzspPAAQ,"Business Value","7.55"
