id,URL,app,author,cron_schedule,description,qualifiedSearch,title
35,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.topology.deployment.clustering.member,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.topology.deployment.clustering.member
36,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.topology.deployment.clustering.searchhead,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.topology.deployment.clustering.searchhead
37,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.topology.deployment.distsearch.peer,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.topology.deployment.distsearch.peer
38,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.topology.deployment.licensing.slave,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.topology.deployment.licensing.slave
39,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.topology.deployment.shclustering.member,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.topology.deployment.shclustering.member
40,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.usage.app.page,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.usage.app.page
41,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.usage.indexing.sourcetype,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.usage.indexing.sourcetype
42,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.usage.search.concurrent,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.usage.search.concurrent
43,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.usage.search.report_acceleration,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.usage.search.report_acceleration
44,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.usage.search.type,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.usage.search.type
45,https://127.0.0.1:8089/servicesNS/nobody/splunk_instrumentation/saved/searches/instrumentation.usage.users.active,splunk_instrumentation,nobody,,,| search terms here ...,instrumentation.usage.users.active
46,https://127.0.0.1:8089/servicesNS/nobody/search/saved/searches/License%20Usage%20Data%20Cube,search,nobody,,,| search terms here ...,License Usage Data Cube
47,https://127.0.0.1:8089/servicesNS/nobody/search/saved/searches/Messages%20by%20minute%20last%203%20hours,search,nobody,,,| search terms here ...,Messages by minute last 3 hours
48,https://127.0.0.1:8089/servicesNS/nobody/search/saved/searches/Orphaned%20scheduled%20searches,search,nobody,,,| search terms here ...,Orphaned scheduled searches
49,https://127.0.0.1:8089/servicesNS/nobody/search/saved/searches/Splunk%20errors%20last%2024%20hours,search,nobody,,,| search terms here ...,Splunk errors last 24 hours
