timestamp,"bytes_in","bytes_out","host"
1458699222,3508,1308,host248
1458699222,3442,1308,host248
1458699231,90,90,host248
1458699235,151,103,host248
1458699220,5874,1797,host254
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,0,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,0,66,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,64,78,host111
1458699244,382,222,host111
1458699244,282,362,host111
1458699244,1411,912,host111
1458699244,286,208,host111
1458699244,934,975,host111
1458699244,4467,2685,host111
1458699244,198,250,host111
1458699244,9071,1436,host111
1458699244,7685,1356,host111
1458699244,790,810,host111
1458699244,784,806,host111
1458699244,5259,1586,host111
1458699244,2949,1667,host111
1458699244,211,100,host111
1458699244,6573,3807,host111
1458699244,124,124,host111
1458699244,186,186,host111
1458699244,76,76,host111
1458699244,113,97,host111
1458699244,62,62,host111
1458699244,135,98,host111
1458699244,192,93,host111
1458699244,391,86,host111
1458699244,0,156,host111
1458699244,0,156,host111
1458699244,167,88,host111
1458699244,152,85,host111
1458699244,259,176,host111
1458699244,239,111,host111
1458699244,189,97,host111
1458699244,135,98,host111
1458699244,122,106,host111
1458699244,0,156,host111
1458699244,135,98,host111
1458699244,247,164,host111
1458699244,143,102,host111
1458699244,200,100,host111
1458699244,189,97,host111
1458699244,117,101,host111
1458699244,919,392,host111
1458699244,289,93,host111
1458699244,125,109,host111
1458699244,920,392,host111
1458699244,162,100,host111
1458699244,932,392,host111
1458699244,0,78,host111
1458699244,70,142,host111
1458699244,0,60,host111
1458699244,0,102,host241
1458699244,0,102,host241
1458699244,0,60,host111
1458699244,342,342,host111
1458699244,570,570,host111
1458699244,570,570,host111
1458699244,570,570,host111
1458699244,570,570,host111
1458699244,570,570,host111
1458699245,3946,398,host111
1458699245,3946,398,host111
1458699245,0,82,host111
1458699245,78,739,host111
1458699245,0,102,host241
1458699245,186,83,host241
1458699245,96,84,host241
1458699245,167,91,host241
1458699245,163,88,host241
1458699245,778,987,host241
1458699245,153,90,host241
1458699245,181,105,host241
1458699245,121,80,host241
1458699245,120,192,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,285,93,host241
1458699245,172,83,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,162,86,host241
1458699245,161,88,host241
1458699245,153,90,host241
1458699245,778,1110,host241
1458699245,1233,2053,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,54,78,host241
1458699245,0,102,host241
1458699245,114,110,host241
1458699245,114,110,host241
1458699245,78,739,host111
1458699245,0,192,host111
1458699245,116,100,host111
1458699245,0,156,host111
1458699245,0,156,host111
1458699245,0,156,host111
1458699245,0,156,host111
1458699246,3946,398,host111
1458699246,78,739,host111
1458699246,78,739,host111
1458699246,78,319,host111
1458699246,7655,1754,host18
1458699246,0,70,host111
1458699246,78,739,host111
1458699246,78,739,host111
1458699246,7685,1759,host241
1458699246,885,2211,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,62,80,host241
1458699246,450,924,host241
1458699246,36904,3776,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,123,79,host241
1458699246,108,96,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,0,492,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,54,78,host241
1458699246,0,102,host241
1458699246,0,102,host241
1458699246,64,78,host111
1458699246,64,78,host111
1458699246,2087,1453,host111
1458699246,64,78,host111
1458699246,0,640,host111
1458699246,0,640,host111
1458699246,0,640,host111
1458699246,64,78,host111
1458699246,64,78,host111
